Time Stamp,Name,,LBMP ($/MWHr)
12:00 AM,CAPITL,,17.32
1:00 AM,CAPITL,,6.37
2:00 AM,CAPITL,,21.24
3:00 AM,CAPITL,,5.86
4:00 AM,CAPITL,,4.49
5:00 AM,CAPITL,,17.5
6:00 AM,CAPITL,,21.81
7:00 AM,CAPITL,,6.84
8:00 AM,CAPITL,,17.86
9:00 AM,CAPITL,,21.7
10:00 AM,CAPITL,,4.45
11:00 AM,CAPITL,,16.24
12:00 PM,CAPITL,,6.35
1:00 PM,CAPITL,,15.71
2:00 PM,CAPITL,,6.37
3:00 PM,CAPITL,,17.11
4:00 PM,CAPITL,,6
5:00 PM,CAPITL,,20.17
6:00 PM,CAPITL,,5.5
7:00 PM,CAPITL,,4.12
8:00 PM,CAPITL,,16.89
9:00 PM,CAPITL,,20.63
10:00 PM,CAPITL,,6.48
11:00 PM,CAPITL,,17.23
12:00 AM,CENTRL,,20.56
1:00 AM,CENTRL,,4.09
2:00 AM,CENTRL,,16
3:00 AM,CENTRL,,6
4:00 AM,CENTRL,,14.91
5:00 AM,CENTRL,,6.01
6:00 AM,CENTRL,,15.95
7:00 AM,CENTRL,,5.17
8:00 AM,CENTRL,,17.96
9:00 AM,CENTRL,,4.7
10:00 AM,CENTRL,,3.37
11:00 AM,CENTRL,,15.27
12:00 PM,CENTRL,,18.33
1:00 PM,CENTRL,,5.62
2:00 PM,CENTRL,,15.65
3:00 PM,CENTRL,,18.27
4:00 PM,CENTRL,,3.35
5:00 PM,CENTRL,,14.86
6:00 PM,CENTRL,,5.19
7:00 PM,CENTRL,,13.21
8:00 PM,CENTRL,,5.19
9:00 PM,CENTRL,,15.79
10:00 PM,CENTRL,,5.19
11:00 PM,CENTRL,,14.98
12:00 AM,DUNWOD,,4.71
1:00 AM,DUNWOD,,3.41
2:00 AM,DUNWOD,,13.92
3:00 AM,DUNWOD,,15.18
4:00 AM,DUNWOD,,5.63
5:00 AM,DUNWOD,,14.22
6:00 AM,DUNWOD,,15.11
7:00 AM,DUNWOD,,3.38
8:00 AM,DUNWOD,,14.72
9:00 AM,DUNWOD,,5.2
10:00 AM,DUNWOD,,11.34
11:00 AM,DUNWOD,,5.19
12:00 PM,DUNWOD,,15.25
1:00 PM,DUNWOD,,6.22
2:00 PM,DUNWOD,,15.08
3:00 PM,DUNWOD,,5.75
4:00 PM,DUNWOD,,4.65
5:00 PM,DUNWOD,,13.93
6:00 PM,DUNWOD,,15.39
7:00 PM,DUNWOD,,6.64
8:00 PM,DUNWOD,,14.21
9:00 PM,DUNWOD,,15.23
10:00 PM,DUNWOD,,4.62
11:00 PM,DUNWOD,,14.39
12:00 AM,GENESE,,6.18
1:00 AM,GENESE,,11.78
2:00 AM,GENESE,,6.21
3:00 AM,GENESE,,17.58
4:00 AM,GENESE,,7.54
5:00 AM,GENESE,,18.06
6:00 AM,GENESE,,7.04
7:00 AM,GENESE,,5.7
8:00 AM,GENESE,,16.39
9:00 AM,GENESE,,18.47
10:00 AM,GENESE,,8
11:00 AM,GENESE,,16.72
12:00 PM,GENESE,,18.27
1:00 PM,GENESE,,5.66
2:00 PM,GENESE,,16.63
3:00 PM,GENESE,,7.5
4:00 PM,GENESE,,14.15
5:00 PM,GENESE,,7.56
6:00 PM,GENESE,,20.28
7:00 PM,GENESE,,13
8:00 PM,GENESE,,22.55
9:00 PM,GENESE,,12.45
10:00 PM,GENESE,,11.33
11:00 PM,GENESE,,20.43
12:00 AM,H Q,,23.26
1:00 AM,H Q,,13.5
2:00 AM,H Q,,20.74
3:00 AM,H Q,,22.82
4:00 AM,H Q,,11.27
5:00 AM,H Q,,19.75
6:00 AM,H Q,,12.69
7:00 AM,H Q,,18.95
8:00 AM,H Q,,12.93
9:00 AM,H Q,,20.53
10:00 AM,H Q,,13.88
11:00 AM,H Q,,23.17
12:00 PM,H Q,,13.32
1:00 PM,H Q,,12.14
